event 1,event 2,cost
129,126,452600
1106,1138,358500
190,177,352100
235,219,341300
280,259,342200
213,193,269700
489,514,299200
687,647,241400
665,595,226700
707,714,261100
434,402,281500
752,734,241800
474,468,213500
191,174,191300
626,620,159200
283,264,140000
347,331,152500
293,303,155500
455,419,158700
298,275,162900
184,166,147500
367,366,159800
541,478,113900
337,325,99700
437,422,132600
123,119,107500
244,239,93800
421,397,105500
492,473,108900
160,155,132000
447,378,122300
481,441,115200
409,335,110400
366,329,104900
574,536,109700
282,264,97200
432,374,104500
390,403,103900
330,309,191400
715,696,176000
419,395,155400
311,249,150000
202,189,118800
202,198,188800
311,292,184400
420,382,182300
322,304,142500
312,253,137500
195,160,187500
375,352,112500
453,438,171900
456,407,93800
853,720,97500
456,400,104200
235,233,87500
243,220,83100
288,259,87500
335,244,85300
341,304,80300
43,57,60000
211,187,75700
29,23,75000
190,122,86100
237,159,76100
182,133,73500
209,187,78400
354,332,84400
244,147,81300
109,82,85000
644,611,129200
152,127,82500
297,277,95200
204,152,75000
4,7,67500
161,133,137500
462,439,177500
562,509,102100
243,207,108300
374,325,112500
176,155,131300
289,289,162500
56,56,112500
97,87,112500
164,155,137500
184,169,118800
143,115,98200
451,380,118800
348,330,162500
42,39,137500
78,85,500001
392,362,162500
87,88,137500
31,34,162500
347,302,187500
623,467,179200
2477,2323,130000
1331,1180,183800
107,91,125000
1270,1250,170000
1085,980,193100
1414,1250,257800
1603,1497,273400
242,228,237500
701,613,350000
1914,1789,335700
225,244,313400
482,456,268500
460,422,259400
751,718,275700
855,802,225000
289,253,262500
1098,1022,218500
1196,1217,255000
559,519,224100
428,422,243100
287,291,231600
1750,1661,218500
1105,1037,234100
399,373,327600
454,485,347600
406,376,366100
54,47,335000
411,403,373600
574,555,389500
365,367,391100
1048,956,337300
473,479,295200
597,597,292300
674,654,411500
346,343,311500
490,496,325900
210,194,392600
460,443,319300
788,766,333300
184,190,335200
223,211,351200
271,269,368900
264,263,365900
181,176,366700
534,500,362800
38,52,483300
333,350,331400
436,426,323500
605,552,216700
535,487,233100
212,224,296400
335,308,273700
465,460,227700
464,441,199600
541,515,239800
339,340,270100
536,521,302100
486,459,269500
229,213,314700
402,380,390100
292,258,410300
313,327,352400
238,256,287300
365,352,348700
550,483,243800
168,175,211500
510,488,218400
502,518,269900
835,747,218800
1065,1015,225000
792,722,250000
469,413,171400
864,773,193800
492,429,125000
526,460,97500
188,196,125000
391,363,138800
606,543,116700
647,644,151800
228,228,127000
373,347,128600
398,335,140600
588,554,182700
289,257,146900
420,401,122800
749,677,169300
184,186,126600
414,392,127900
480,415,123500
299,280,111900
1344,1231,112800
395,412,107900
264,263,137500
431,389,105500
395,303,95500
180,168,116100
376,357,112200
43,55,75000
129,123,112500
237,227,125000
779,676,115000
128,138,95000
301,259,96400
206,183,72000
146,126,71300
215,213,80800
530,477,128800
472,438,112500
258,255,119400
825,751,118100
396,343,122500
217,219,106300
574,523,132500
145,140,122700
199,184,113300
314,272,109500
690,685,164700
190,195,125000
575,527,124700
450,424,136700
711,659,141700
376,340,150000
307,292,138800
557,516,139200
409,386,143800
500,464,156500
447,446,151000
499,455,273000
293,268,217100
711,706,187100
354,340,239600
263,252,229700
259,238,257300
341,332,246900
195,184,179900
256,235,169600
405,399,203300
271,277,263400
451,454,231800
761,669,140500
459,390,126000
195,210,122000
452,491,134700
533,474,139400
528,480,115400
508,569,137300
300,269,137000
224,245,142600
244,245,137500
710,610,111700
460,407,126800
248,241,111300
114,135,114800
473,440,102300
514,495,131900
463,393,119100
314,300,80600
173,137,80600
153,149,88800
498,483,102400
375,354,98700
328,277,100000
254,263,92300
597,537,94800
415,341,102000
443,423,158400
399,376,121600
403,378,129100
502,484,121400
414,393,102800
180,168,160000
428,425,143900
445,417,151200
415,375,164400
397,369,156500
31,47,225000
205,209,174200
193,190,166900
332,327,163500
95,106,253000
233,214,240700
387,329,208100
243,256,198100
217,201,172800
262,266,336700
195,195,318200
336,328,285800
317,324,293000
2048,1967,371000
260,267,157300
746,703,135300
440,407,136700
322,284,160700
177,181,140600
128,121,144000
,218,161900
194,180,156300
397,384,176000
349,316,145800
342,322,141900
533,452,90700
367,355,90600
413,382,107900
358,320,107000
397,354,98200
261,246,89500
175,165,93800
452,451,96700
236,157,97500
257,268,97300
408,367,91200
282,269,91400
547,554,96200
471,438,120100
362,366,100000
391,350,94700
259,279,85700
510,454,89300
393,349,101400
207,159,72500
238,237,74100
132,133,70000
736,667,84600
370,351,81800
565,520,81400
189,162,81800
297,303,85800
212,159,87100
154,123,83500
253,244,79700
147,155,83400
291,287,84700
215,198,80000
293,285,76400
119,136,79700
874,780,82400
445,414,97700
134,137,97200
193,179,101600
371,341,86500
126,109,90500
226,225,107600
183,178,84200
391,354,88900
76,80,80700
218,195,87100
,259,85100
261,260,82000
263,150,82800
233,213,84600
214,166,82100
307,286,89300
320,306,98300
271,230,92300
248,254,88800
390,349,90000
514,484,95500
624,482,91700
211,185,100400
343,342,94800
307,302,164300
574,519,155500
286,270,196900
365,355,279100
231,211,252800
491,533,275400
261,219,250000
111,109,329800
105,109,195500
200,202,255900
54,50,311100
93,93,330000
666,648,248900
161,154,142900
256,255,126300
399,331,135800
178,191,130600
454,386,107900
131,135,111100
275,272,122000
277,282,118000
294,261,95200
140,133,94300
281,280,92500
287,259,91800
300,295,109400
181,211,129500
147,144,143400
223,166,98200
239,215,103100
238,236,276800
263,286,270900
422,377,246200
522,509,224200
349,326,229100
402,375,211600
1212,1146,256100
293,276,206300
283,275,221300
291,266,207400
930,924,350000
698,696,218200
261,227,216700
175,153,270600
380,371,261400
332,334,261300
421,423,232200
274,256,375400
279,288,357300
273,275,374400
240,236,358800
270,253,417500
373,365,430500
328,312,362900
250,244,397000
328,335,346800
169,168,327100
408,369,290100
329,306,292000
473,487,270900
366,355,371100
293,272,335600
335,362,371300
195,181,344000
494,462,342200
531,504,370900
457,450,350000
460,448,368600
417,404,391800
410,377,415300
648,621,284900
391,367,287500
592,550,272900
491,464,259600
200,207,254500
215,218,235600
424,388,218400
490,475,229200
442,425,192100
395,380,179300
146,137,187500
97,98,138800
118,100,150000
127,128,140600
119,106,120000
376,355,144800
749,684,144800
